BioSample	Environmental_Category
SAMD00443681	Rhizosphere
SAMD00443680	Rhizosphere
SAMD00443679	Rhizosphere
SAMD00443678	Rhizosphere
SAMD00443677	Rhizosphere
SAMD00628139	Soil
SAMD00628138	Soil
SAMD00628137	Soil
SAMD00628136	Soil
SAMD00628135	Soil
SAMD00628134	Soil
SAMD00628133	Soil
SAMD00628132	Soil
SAMD00628131	Soil
SAMD00628130	Soil
SAMD00628129	Soil
SAMD00628128	Soil
SAMD00628127	Soil
SAMD00628126	Soil
SAMD00628125	Soil
SAMD00628124	Soil
SAMD00628123	Soil
SAMD00628122	Soil
SAMD00628121	Soil
SAMD00628120	Soil
SAMD00628119	Soil
SAMD00628118	Soil
SAMD00628117	Soil
SAMD00628116	Soil
SAMD00628115	Soil
SAMD00628114	Soil
SAMD00628113	Soil
SAMD00628112	Soil
SAMD00628111	Soil
SAMD00628110	Soil
SAMD00628109	Soil
SAMD00628108	Soil
SAMD00628107	Soil
SAMD00628106	Soil
SAMD00628105	Soil
SAMD00628104	Soil
SAMD00628103	Soil
SAMD00628102	Soil
SAMD00628101	Soil
SAMD00628100	Soil
SAMD00628099	Soil
SAMD00628098	Soil
SAMD00628097	Soil
SAMD00628096	Soil
SAMD00628095	Soil
SAMD00628094	Soil
SAMD00628093	Soil
SAMD00628092	Soil
SAMD00628091	Soil
SAMD00628090	Soil
SAMD00628089	Soil
SAMD00628088	Soil
SAMD00628087	Soil
SAMD00628086	Soil
SAMD00628085	Soil
SAMD00628084	Soil
SAMD00628083	Soil
SAMD00628082	Soil
SAMD00628081	Soil
SAMD00628080	Soil
SAMD00628079	Soil
SAMD00628078	Soil
SAMD00628077	Soil
SAMD00628076	Soil
SAMD00628075	Soil
SAMD00628074	Soil
SAMD00628073	Soil
SAMD00628072	Soil
SAMD00628071	Soil
SAMD00628070	Soil
SAMD00628069	Soil
SAMD00628068	Soil
SAMD00628067	Soil
SAMD00628066	Soil
SAMD00628065	Soil
SAMD00628064	Soil
SAMD00628063	Soil
SAMD00628062	Soil
SAMD00628061	Soil
SAMD00628060	Soil
SAMD00628059	Soil
SAMD00628058	Soil
SAMD00628057	Soil
SAMD00628056	Soil
SAMD00628055	Soil
SAMD00628054	Soil
SAMD00628053	Soil
SAMD00628052	Soil
SAMD00628051	Soil
SAMD00628050	Soil
SAMD00628049	Soil
SAMD00628048	Soil
SAMD00628047	Soil
SAMD00628046	Soil
SAMD00628045	Soil
SAMD00628044	Soil
SAMD00628043	Soil
SAMD00628042	Soil
SAMD00628041	Soil
SAMD00628040	Soil
SAMD00628039	Soil
SAMD00628038	Soil
SAMD00628037	Soil
SAMD00628036	Soil
SAMD00628035	Soil
SAMD00628034	Soil
SAMD00628033	Soil
SAMD00628032	Soil
SAMD00628031	Soil
SAMD00628030	Soil
SAMD00628029	Soil
SAMD00438858	Wastewater/Contaminated
SAMD00438857	Wastewater/Contaminated
SAMD00438856	Wastewater/Contaminated
SAMD00438855	Wastewater/Contaminated
SAMD00438854	Wastewater/Contaminated
SAMD00438853	Wastewater/Contaminated
SAMD00438852	Wastewater/Contaminated
SAMD00438851	Wastewater/Contaminated
